Short Code, Account Type, Available Balance, Currency, Date
100214,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
100209,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
100207,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
123456,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
100212,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
100211,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
100205,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
123457,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
100217,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
100218,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
100221,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
100204,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
100213,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
100202,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
100208,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
100216,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
100201,Organization eMoney Account (working Account),0.00,SSP,2019-06-27 03:00:03
100300,Commission Account,0.00,SSP,2019-06-27 03:00:03
100210,Commission Account,0.00,SSP,2019-06-27 03:00:03
100215,Commission Account,0.00,SSP,2019-06-27 03:00:03
100200,Commission Account,0.00,SSP,2019-06-27 03:00:03
100219,Commission Account,0.00,SSP,2019-06-27 03:00:03
100206,Commission Account,0.00,SSP,2019-06-27 03:00:03
123456,Commission Account,0.00,SSP,2019-06-27 03:00:03
100220,Commission Account,0.00,SSP,2019-06-27 03:00:03
100214,Commission Account,0.00,SSP,2019-06-27 03:00:03
100209,Commission Account,0.00,SSP,2019-06-27 03:00:03
100207,Commission Account,0.00,SSP,2019-06-27 03:00:03
100212,Commission Account,0.00,SSP,2019-06-27 03:00:03
100211,Commission Account,0.00,SSP,2019-06-27 03:00:03
100205,Commission Account,0.00,SSP,2019-06-27 03:00:03
123457,Commission Account,0.00,SSP,2019-06-27 03:00:03
100217,Commission Account,0.00,SSP,2019-06-27 03:00:03
100218,Commission Account,0.00,SSP,2019-06-27 03:00:03
100221,Commission Account,0.00,SSP,2019-06-27 03:00:03
100204,Commission Account,0.00,SSP,2019-06-27 03:00:03
100213,Commission Account,0.00,SSP,2019-06-27 03:00:03
100202,Commission Account,120.00,SSP,2019-06-27 03:00:03
100208,Commission Account,0.00,SSP,2019-06-27 03:00:03
100216,Commission Account,0.00,SSP,2019-06-27 03:00:03
100201,Commission Account,0.00,SSP,2019-06-27 03:00:03
100300,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100210,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100215,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100200,Organization eMoney Account (Float Account),200000.00,SSP,2019-06-27 03:00:03
100219,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100206,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100220,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100214,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100209,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100207,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
123456,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100212,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100211,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100205,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
123457,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100217,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100218,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100221,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100204,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100213,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100202,Organization eMoney Account (Float Account),89410.00,SSP,2019-06-27 03:00:03
100208,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100216,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
100201,Organization eMoney Account (Float Account),0.00,SSP,2019-06-27 03:00:03
Short Code, Account Type, Available Balance, Currency, Date
100300,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100235,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100228,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100251,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100223,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100210,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100215,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100200,Organization eMoney Account (working Account),398250.00,SSP,2019-06-28 03:00:03
100233,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100231,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100244,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100240,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100229,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100252,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100227,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100249,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100239,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100241,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100253,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100222,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100219,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100206,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100220,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100214,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100209,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100207,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
123456,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100245,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100226,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100212,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100211,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100205,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
123457,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
